,year,month,day,T,I,D,ps,Aru_29,freq
0,2011.0,6.0,9.0,13.075444444444445,505.9966666666666,0.005457777777777778,-0.027578323688021968,0.33383555555555555,0.001188
1,2011.0,6.0,10.0,11.226666666666668,232.22333333333333,0.0049166666666666655,-0.026822237613248825,0.2359766666666667,0.000584
2,2011.0,6.0,11.0,11.590888888888891,130.60411111111108,0.0006855555555555557,-0.011884667958667864,0.06251833333333333,0.0
3,2011.0,6.0,12.0,18.301888888888886,592.3711111111112,0.011416666666666669,-0.012697688005746027,0.3798488888888889,0.04756
7,2011.0,6.0,16.0,20.908888888888892,149.716,0.008582222222222222,-0.0230546786371816,0.195904,0.012213
8,2011.0,6.0,17.0,23.824555555555552,608.8833333333333,0.012111111111111109,-0.025869534387064068,0.4506633333333334,0.044253
9,2011.0,6.0,18.0,21.412555555555556,620.0566666666666,0.013231111111111114,-0.030789362682015587,0.40416777777777774,0.06727
10,2011.0,6.0,19.0,19.596666666666664,321.1131111111111,0.011075555555555556,-0.03718641643643664,0.3203344444444444,0.040881
11,2011.0,6.0,20.0,20.331555555555557,411.2144444444445,0.008113333333333334,-0.040351742058217135,0.4163977777777778,0.009674
12,2011.0,6.0,21.0,14.521333333333335,98.35257142857141,0.0008188888888888889,-0.04514913329262965,0.024641399999999997,0.0
13,2011.0,6.0,22.0,16.48966666666667,245.205,0.0006155555555555555,-0.011298794133332934,0.0065120666666666676,0.0
14,2011.0,6.0,23.0,18.751444444444445,188.19625,0.00038888888888888887,-0.013542442946554982,0.0987628888888889,0.0
15,2011.0,6.0,24.0,14.946333333333332,213.5388888888889,0.0012655555555555556,-0.014753808649084025,0.05653233333333334,0.0
16,2011.0,6.0,25.0,22.607,628.0922222222222,0.014864444444444447,-0.017527976287706963,0.7685022222222223,0.088413
18,2011.0,6.0,27.0,23.12566666666667,379.68666666666667,0.011452222222222223,-0.02286578506126604,0.4002455555555556,0.037514
19,2011.0,6.0,28.0,13.230888888888892,188.34555555555556,0.0023100000000000004,-0.02474780622309682,0.14922555555555556,0.0
