c,p50,param,ps
0.11004301539981007,0.5879227106981045,0.4015129494548061,0.349228135493983
0.13360450204573487,0.6316200200534782,0.3415453141160413,0.3439184686804558
0.14905520196233818,0.6443293994745987,0.2953591281897011,0.35043159594499695
0.16052942982012733,0.6554988915210623,0.2872996436039421,0.34349742569094993
0.1694449337548913,0.6550867469151498,0.2812950533210428,0.35026485132547447
0.11255568524976972,0.5989354320935705,0.38860255900712787,0.35308317812337503
0.12373999261555901,0.6250338189084239,0.3691578236485249,0.3454226217271348
0.15646044554642755,0.6492087551151621,0.29026694306865086,0.34665640234975226
0.08955208230870637,0.5429182508748484,0.4698931290636064,0.3305436694159145
0.10028798966140397,0.5669506721961177,0.44015278577208905,0.34843645121874856
0.13767354208868626,0.6403049181493852,0.3139519217981738,0.34363754207789454
0.1035099630286699,0.5884616642746141,0.421193377398515,0.3609393625085306
0.10284393258749869,0.5857066656972936,0.41431741754842005,0.3557289188344868
0.12362850654304293,0.6265962912082275,0.36472346266713807,0.34288691147817657
0.13810296927645052,0.6314026681760746,0.33213867326125507,0.34165496600441336
0.1014418108506452,0.5802017623771053,0.42844163976353844,0.3559579206773288
0.11258747020213607,0.5963337904919352,0.3930386607454647,0.34925792226522623
0.1340385902678049,0.6340983099637397,0.33809550712408465,0.343729168096337
0.13858479474315893,0.6327529422165864,0.3336141322346391,0.3409151363005681
0.11013585573315793,0.590412886833342,0.39590874674897825,0.35031890307938324
0.13696962445255123,0.6401610554959093,0.3155588659557156,0.34361349614873526
0.1408888498169712,0.6438554021257561,0.30853881693401586,0.3452145496992227
0.09390896966006246,0.5448583800402617,0.4702239865302616,0.330064736207212
0.1401593174855163,0.6334265839338861,0.3264348968636669,0.3423262884757274
0.11028194327904137,0.5916702959237697,0.39354831174202076,0.3500771903130948
0.13977891366790351,0.6418120877569514,0.31207203358459723,0.3434912228573232
0.10249533465344327,0.5874340243918572,0.42380267713267733,0.3621281624397424
0.1556558324207994,0.6411600250724698,0.2948747933958095,0.34916799793042574
0.15629825708678616,0.6496348733836187,0.28981464597245515,0.3451941008459376
0.14809085969769437,0.6447707597377198,0.2986611365411378,0.35006091035059006
0.15622905717300908,0.6507079202258191,0.2896079522877836,0.345688454308299
0.12169430563870383,0.6227777736511458,0.3702376593689308,0.3444413380925522
0.10248240113117277,0.5911133705456306,0.41893628567650526,0.3614907951417173
0.13980060489343935,0.6417985399074386,0.31214562471933993,0.3434768106969327
0.13231248337791385,0.633267847310009,0.34428244768779903,0.3421173584721645
0.13125052522947586,0.6334859548715996,0.34659296345080054,0.34374120015518567
0.13395449180291796,0.6337014552205877,0.3395115897257564,0.3440286998232711
