qt=0.05,qt=0.5,qt=0.95,observed,date
0.40097436448619495,0.40876646865309624,0.41635292044163597,0.5539,2015-10-01
0.5080474082615828,0.5182112822469502,0.5279024823561224,0.7146,2015-10-02
0.43975654494957966,0.44854385248990214,0.4569764580168074,0.5319,2015-10-03
0.5296898671598315,0.5403208321330166,0.5505027984177691,0.6013,2015-10-04
0.43107371644870485,0.43949929728114523,0.44770967254249505,0.6085,2015-10-05
0.3747102097776536,0.3819562522222196,0.38909132254196843,0.5917,2015-10-06
0.4277161504153934,0.4361624692021746,0.4442425038810107,0.7257,2015-10-07
0.5113133862916546,0.5214929461790472,0.5313009508423036,0.7365,2015-10-08
0.4773350141290229,0.4864718473296993,0.49559100755020935,0.4829,2015-10-09
0.3017387394919982,0.3076108632126906,0.31356752760466594,0.3111,2015-10-10
0.44716289506562223,0.4558782019068405,0.4643967625095042,0.6554,2015-10-11
0.5158839323545792,0.5262853118102063,0.5363066755098881,0.5266,2015-10-12
0.5322744864239192,0.5434799557023502,0.5541312589739794,0.3341,2015-10-13
0.5662100857036884,0.5778915643163166,0.5890520739947791,0.4869,2015-10-14
0.5274034647427444,0.5378061308066522,0.5480471518213068,0.5076,2015-10-15
0.49967911146799165,0.5091796841851938,0.5186582152054757,0.4704,2015-10-16
0.14303245900760259,0.14627033373874682,0.1493732240505609,0.1254,2015-10-17
0.2884061065519536,0.294037623773714,0.29968313826260357,0.0,2015-10-18
0.32400433234590353,0.33035331954904973,0.33649988373028134,0.0,2015-10-19
0.44464031793345604,0.4530845786034796,0.46173473436397705,0.4783,2015-10-20
0.49685864866080676,0.5063739754910304,0.51582619273448,0.3714,2015-10-21
0.49382396482496743,0.5034264484905139,0.5128949472018985,0.4252,2015-10-22
0.46154175211622167,0.47042483048628575,0.47925852902307625,0.3922,2015-10-23
0.5270874596336038,0.5373632389158677,0.5477634187114773,0.5127,2015-10-24
0.23804052243182508,0.2428315331011772,0.24770610765249695,0.0,2015-10-25
0.40800932821421365,0.41600301743330215,0.4238830006608544,0.3913,2015-10-26
0.1192639359131397,0.12208873012279849,0.12473297406491525,0.0446,2015-10-27
0.31189474543983375,0.31807976526883813,0.32392695076235745,0.2381,2015-10-28
0.353641543080518,0.3604653290952793,0.3673153035632239,0.2935,2015-10-29
0.41236002238252945,0.42034298433632167,0.4282161912850892,0.3476,2015-10-30
0.3393424236545424,0.3460137865490014,0.3524042993261678,0.3794,2015-10-31
0.11752945622882197,0.12034277514259428,0.12295248691673341,0.0907,2015-11-01
0.31690301142113025,0.32310404136624615,0.3290951592483702,0.2462,2015-11-02
0.37329986492248346,0.3806993593660191,0.3879627054525249,0.369,2015-11-03
0.39264612469751403,0.4004936241632763,0.4082460637998052,0.3395,2015-11-04
0.34330325479731505,0.3500775462410748,0.3566000462764742,0.3107,2015-11-05
0.35713086768097785,0.36422888172908513,0.3710405564926502,0.3309,2015-11-06
0.3307394518845894,0.33724154898346215,0.34356341483151354,0.2913,2015-11-07
0.12659720449003176,0.12946516430068725,0.13223213448731946,0.0393,2015-11-08
0.09316995647554073,0.09545407189422155,0.09759964065129106,0.0393,2015-11-09
0.18319980611878348,0.18703355803223798,0.190871644756878,0.1385,2015-11-10
0.2656858897322336,0.2709633221575184,0.27623542916976507,0.2044,2015-11-11
0.23927256678895847,0.24387476683234374,0.24872493779278873,0.2661,2015-11-12
0.2673217864639188,0.2725580418978263,0.27783621203797804,0.3438,2015-11-13
0.24005182943173523,0.24464258571623043,0.2494797385102691,0.275,2015-11-14
0.2333082300670553,0.23783978394386462,0.2425842468399594,0.2212,2015-11-15
0.32233104455438727,0.3287294375969584,0.33483829039599317,0.3482,2015-11-16
0.15166777178703209,0.15501594134736194,0.15827763438655482,0.0643,2015-11-17
0.17446255148601444,0.17810859374755852,0.18181355365275623,0.1579,2015-11-18
0.264799635820987,0.2699452917394824,0.27524529718172724,0.4536,2015-11-19
0.22438154073784497,0.22890547225845032,0.23351195996617105,0.4454,2015-11-20
0.21426067592752868,0.21857434540915693,0.22301570763852965,0.3509,2015-11-21
0.22524641128516634,0.22979021006450012,0.23441154022425925,0.3708,2015-11-22
0.20942887810687974,0.2138577187080481,0.22229739833838244,0.511,2015-11-23
0.12516530956214064,0.12799521547942191,0.1307281541737789,0.0778,2015-11-24
0.15740197606730305,0.16074454177221245,0.16411821626202916,0.1496,2015-11-25
0.1586803538620736,0.16187450860565972,0.16590896847469344,0.1196,2015-11-26
0.2366025134245478,0.2417314800978963,0.2521234863933601,0.0832,2015-11-27
0.23045553282131634,0.23548348332285549,0.24587393459898488,0.1768,2015-11-28
0.21279299162736715,0.2174578404604609,0.22670668952623646,0.2307,2015-11-29
0.13222271390273518,0.1352209517002174,0.13811180976781753,0.0348,2015-11-30
0.1775936971031361,0.18131055398135054,0.18505075073195806,0.2031,2015-12-01
0.08930028415319591,0.09150363856680674,0.09358677378493416,0.0,2015-12-02
0.08955073910533508,0.09166630070471102,0.09371170551215616,0.019,2015-12-03
0.09112250795020277,0.09336847174645974,0.09547730542344983,0.0202,2015-12-04
0.1021854193356813,0.10465863593825414,0.10695197600731932,0.0054,2015-12-05
0.0971057033498499,0.09948551143755867,0.10170014723494991,0.0326,2015-12-06
0.08780527374283682,0.08996834618975365,0.09202071352727698,0.0232,2015-12-07
0.09443294405103894,0.09675670518648283,0.09892918345240614,0.0248,2015-12-08
0.09621451160921841,0.09857135457790468,0.10076672055606953,0.0665,2015-12-09
0.09151341160827993,0.09375779243824876,0.09587041046569549,0.0284,2015-12-10
0.0802036437661598,0.08223079294740498,0.0841330402470957,0.0183,2015-12-11
0.0802165529454682,0.08224364298614609,0.08414619415937728,0.0143,2015-12-12
0.0821627619266183,0.08420817629539344,0.08614806257216573,0.0083,2015-12-13
0.2157401822856074,0.21998301558753453,0.22436588222534734,0.1352,2015-12-14
0.08799154005095271,0.08976515776187036,0.09163846389628884,0.0586,2015-12-15
0.16889457810641278,0.17243350284363684,0.17601476464703283,0.1121,2015-12-16
0.07785418750884361,0.07982985611751575,0.08168156728231663,0.0,2015-12-17
0.07860148306399067,0.08059436340430554,0.08246247229990326,0.0089,2015-12-18
0.12358491768040904,0.12637779107129443,0.12908401359222457,0.0725,2015-12-19
0.08046324072475494,0.08249267834343947,0.08440110559696688,0.0018,2015-12-20
0.03516590753508938,0.03588949780386992,0.03664293981354423,0.0,2015-12-21
0.10045778767963714,0.10290367944697805,0.10517434833424488,0.0,2015-12-22
0.1998068794411355,0.20386000378303076,0.20796675229395375,0.0988,2015-12-23
