Days,c,g1,kxmax,p50,L,ps
0,0.03232466522899847,0.20320458026581925,0.060179506879076264,0.35118013244297214,0.053802571616864046,0.32132565425646076
1,0.03914084614235736,0.209182381391576,0.07802053294061315,0.2995572711200795,0.035665385792595164,0.40155969990613416
2,0.03336177261558933,0.1962628243827586,0.06704260989082339,0.3504940202543041,0.0487511546498616,0.3401668425200714
3,0.040423191445440494,0.21061282467004805,0.08109607605466286,0.28901208633515685,0.03299310384610912,0.4170338044695597
4,0.03447246508508822,0.20561606578836175,0.06563760466907287,0.33641004202424934,0.047489529781264375,0.34621554510125474
5,0.03130876802675482,0.2065479785380062,0.055281273163348056,0.3535691441670476,0.05817957953693202,0.3068781566633232
6,0.034139667988423904,0.2047482591634094,0.06504788462595334,0.33939650042118125,0.0483111122474164,0.34266047892290974
7,0.039352393027107795,0.20949961766117633,0.0784916223764436,0.2977791112256279,0.035225928874148126,0.40400523751161055
8,0.03672563721958944,0.20412468203100084,0.07329567868591068,0.3208612949315836,0.04075791071205783,0.3756925177856534
9,0.026940627463203057,0.20882051031860563,0.04072758559271682,0.3710861230497635,0.07649486715612847,0.2612166380830063
10,0.03534614377019032,0.20550086110809895,0.06839279408652638,0.33021591052780774,0.044876118226263584,0.35720328865037804
11,0.04020162990190476,0.21340617509137472,0.07911725574084735,0.28944947908814755,0.03396213904104838,0.4111200386427964
12,0.04196444657042094,0.21959547388543008,0.0813681377078527,0.27357955883181023,0.03116351426565971,0.42825350501844694
13,0.04288865565243429,0.21557104740196323,0.08587430489812449,0.2680570143338222,0.02869511076906568,0.4452349616637169
14,0.03974214237113637,0.20709557224407119,0.08079958956402462,0.2958796550873136,0.03390564589111,0.4117121221915792
15,0.037932158761077035,0.20450699091494176,0.07672731744525756,0.31134006889206245,0.0377262379509808,0.3907177390886517
16,0.016614834081545956,0.2141035689720862,0.011406877068855572,0.38680865023911104,0.15570278746730018,0.2095576555923068
17,0.02564884788345355,0.20672052889731027,0.03792693413955072,0.3795617230006316,0.08187852974288647,0.25095774291489914
18,0.027761760439021402,0.20478436134380532,0.045181150645728335,0.3732516111336307,0.07168920631212629,0.2705360669900041
19,0.03434265981166162,0.20043431746642443,0.06789500834555144,0.34129164332864215,0.046713842440428616,0.3491111528515575
20,0.03701905943003972,0.19986371741104975,0.07632888731339157,0.3210996425314645,0.039129844933255616,0.3838279806848825
21,0.03655360284932397,0.19802497120076318,0.07586955870816343,0.325871250773558,0.03996948407019678,0.37980780762645705
22,0.035140985212665926,0.19969823501885917,0.0707288233473361,0.3359191269921383,0.04420641915003535,0.3603902498297675
23,0.03731807015241664,0.19283871216871537,0.08079254630336631,0.32227461407668373,0.03697426959136852,0.39520532156894356
24,0.02260431697710783,0.21018049342098472,0.02782636968085692,0.3819404817045583,0.09925841091973592,0.22888448123824193
25,0.03197710086477535,0.19878135334639538,0.061397035497313984,0.3571118054106433,0.053879420754928534,0.3206628105247947
