qt=0.05,qt=0.5,qt=0.95,observed,date
,,,0.0033,2016-01-30
0.3323225037727739,0.3382822641109611,0.3436198705421798,0.0,2016-01-31
0.32092095879236127,0.3266748294494793,0.3318297794091823,0.0,2016-02-01
,,,0.0,2016-02-02
,,,0.0015,2016-02-03
,,,0.0,2016-02-04
,,,0.0022,2016-02-05
0.3098085395436568,0.31534855784375454,0.3203385521269816,0.0,2016-02-06
0.37063580706970845,0.3772787141733489,0.38323879611148254,0.0,2016-02-07
0.4082940245947868,0.41560716371565654,0.42215748487308724,0.0,2016-02-08
0.36495605890101884,0.3714973814385117,0.37736544480097745,0.0347,2016-02-09
0.3855612096267461,0.3924655640275172,0.39866208951614474,0.0044,2016-02-10
0.412195846657611,0.41959720048988514,0.42618602842435266,0.0015,2016-02-11
0.2867549819809159,0.29188616512363086,0.2964984824146982,0.0,2016-02-12
0.39382405920120944,0.40087214111963176,0.40719835242954117,0.0,2016-02-13
0.4094444439156397,0.4167730587566172,0.42336221520129996,0.0037,2016-02-14
0.4547401857565045,0.4629292933127752,0.4701632148588281,0.0081,2016-02-15
0.40984222968853834,0.41717520834301786,0.42376648634144465,0.0,2016-02-16
,,,0.0068,2016-02-17
,,,0.0026,2016-02-18
,,,0.003,2016-02-19
0.2919730201553693,0.29719427582586966,0.30189549152953826,0.0,2016-02-20
0.3284079455173227,0.3342966576334123,0.3395717598798117,0.0007,2016-02-21
0.42190595739009046,0.4295011228692188,0.43621125288805207,0.0,2016-02-22
0.42331805741417367,0.43094460204149404,0.4376752532952182,0.0037,2016-02-23
0.466306327146389,0.474714504948917,0.48208286635723363,0.0022,2016-02-24
0.4029690590783649,0.4101798058078562,0.4166574030301754,0.0,2016-02-25
,,,0.0129,2016-02-26
,,,0.0,2016-02-27
,,,0.0,2016-02-28
0.31687684425442103,0.3225435877471192,0.32764762186390295,0.0044,2016-02-29
,,,0.005,2016-03-01
,,,0.0004,2016-03-02
,,,0.0,2016-03-03
,,,0.0037,2016-03-04
,,,0.0,2016-03-05
,,,0.0,2016-03-06
0.35618025746411497,0.36256643823119594,0.3682882467894249,0.0,2016-03-07
,,,0.0,2016-03-08
,,,0.0,2016-03-09
,,,0.0,2016-03-10
,,,0.0,2016-03-11
,,,0.0,2016-03-12
,,,0.0,2016-03-13
0.27989995272130136,0.2849045991687271,0.2894107889154498,0.0037,2016-03-14
0.33609108190184345,0.34211595309094056,0.3475166998351725,0.0,2016-03-15
0.4305858743742143,0.43830102205178895,0.44520571361099337,0.0,2016-03-16
0.4735785532793481,0.4821036019809352,0.489639891694919,0.0,2016-03-17
0.4810322818231314,0.4896563638438147,0.4973240576281653,0.0105,2016-03-18
,,,0.0037,2016-03-19
,,,0.0041,2016-03-20
,,,0.0,2016-03-21
,,,0.0,2016-03-22
0.3734438691263281,0.38013579488555027,0.3861389437409114,0.0,2016-03-23
0.3161282645893872,0.32177825344510225,0.32687333506080274,0.0,2016-03-24
0.46315788238555783,0.47146253676549754,0.4788434822564361,0.0044,2016-03-25
0.325401629146765,0.3312194508021846,0.33646274667681425,0.0096,2016-03-26
0.35838931782794303,0.36481349033109406,0.3705749507998,0.0069,2016-03-27
0.42143399368597717,0.4290096118020158,0.4357159751900706,0.0,2016-03-28
0.4756127121160494,0.4842234028271061,0.4916951613898053,0.0041,2016-03-29
0.49157798475066317,0.500446052196548,0.5082107400721093,0.0063,2016-03-30
0.5137303189004926,0.5230642629117869,0.5310958252775512,0.0055,2016-03-31
0.4183695465832151,0.42585565789217006,0.4325896782828148,0.0155,2016-04-01
0.46866975094964086,0.4770765090911343,0.48458020042147143,0.0325,2016-04-02
0.4826240945566961,0.49127541647746015,0.49896906228036675,0.0164,2016-04-03
0.5151065695846719,0.5244809107010384,0.5325143753871867,0.0125,2016-04-04
0.5935001428804836,0.6041767845324424,0.6136353319421156,0.0314,2016-04-05
0.6274282475424111,0.6385090518106694,0.648791494354774,0.0323,2016-04-06
0.5250015248765301,0.5344161947626903,0.5427828788838328,0.0513,2016-04-07
0.38833672700086413,0.395295947817516,0.40154302224788324,0.0367,2016-04-08
0.3033935986509483,0.3088160850200812,0.3137047812612777,0.0174,2016-04-09
0.28086637775133994,0.28589208863955423,0.29040944050805345,0.0105,2016-04-10
0.36187936198581483,0.36836848131590305,0.37418358302469,0.0315,2016-04-11
0.3003596203061507,0.30572884185013127,0.31056756348663883,0.0119,2016-04-12
0.40739831231838985,0.4147171097760293,0.4212244426817667,0.0385,2016-04-13
