qt=0.05,qt=0.5,qt=0.95,date,ps
0.9986827812865086,0.9992011755625612,0.9995352781797876,2015-05-30,-0.008788282936253607
0.9950301218199489,0.9969550689448623,0.998268315235652,2015-05-31,-0.011464124025177953
0.9866443270074314,0.9915633985467912,0.9953382982927063,2015-06-01,-0.013379528128079757
0.9811690937123552,0.9876851338166732,0.9930719535582043,2015-06-02,-0.014992637484538775
0.9891543700700345,0.9931174027435663,0.9961940397861074,2015-06-03,-0.016451535140875183
0.9986730902861378,0.9991886328833859,0.9995259406826804,2015-06-04,-0.017725646455776442
0.9995111235841294,0.9997039282909388,0.9998189612005901,2015-06-05,-0.018847429434630414
0.9854007117985611,0.9905480177841259,0.9947671272054905,2015-06-06,-0.019913220495044362
0.9998458421792248,0.9999069319359899,0.9999438330726919,2015-06-08,-0.011621376363904576
0.9927977065601442,0.9955010349437157,0.9975113637481442,2015-06-09,-0.011574821320613195
0.998846873024868,0.9992933367943084,0.9995886853607989,2015-06-10,-0.011797215898074944
0.9997077043548676,0.999820818851533,0.9998915425187733,2015-06-11,-0.012613270527398645
0.9981044062887774,0.9988546237572564,0.9993366083096349,2015-06-12,-0.009571026548692229
0.9968052425733984,0.9980814436874055,0.9988965690148522,2015-06-13,-0.010899746419266509
0.9997238008177048,0.9998314980570556,0.9998979254024052,2015-06-14,-0.011958805410347393
0.9990533157355048,0.9994193445322693,0.999658105839265,2015-06-15,-0.012986320322799911
0.9929477084039715,0.9956038838646089,0.9975530032188933,2015-06-16,-0.01432461342351427
0.9957093300797304,0.9973603423655484,0.9984954088234634,2015-06-17,-0.01578381450367265
0.9990629849004949,0.9994205755005479,0.9996575690578428,2015-06-18,-0.01710911758050055
0.9873665684611712,0.9919230758479147,0.9955325506786898,2015-06-19,-0.018654127618590897
0.9986719972302789,0.9991841976965619,0.9995210080517271,2015-06-20,-0.020267851092368033
0.9995974428113167,0.9997537810357757,0.9998500421044259,2015-06-21,-0.02131353244367973
0.9988169224416783,0.9992682769627348,0.9995689180910114,2015-06-22,-0.022614791785018636
0.9993195293183565,0.9995794772296932,0.9997465569213989,2015-06-23,-0.023642426936449065
0.9915156059697884,0.9946276818542873,0.9970072677456474,2015-06-24,-0.025115122344040255
0.9994671271246182,0.9996744006030217,0.9998018402638704,2015-06-25,-0.02347544922614568
0.9897611140750263,0.9935115813889508,0.996374804041421,2015-06-26,-0.020170014973366724
0.9857293023024453,0.9908659017849237,0.9948886122811009,2015-06-27,-0.020455437067824177
0.987430855505688,0.9919626832956057,0.9954995100753358,2015-06-28,-0.02170594597926186
0.9868921249247491,0.991611302497089,0.9952824040631763,2015-06-29,-0.023676653759258273
0.9999780702277232,0.9999870971504645,0.9999923901859238,2015-06-30,-0.017673127011538885
0.9994935666430226,0.9996958117031307,0.9998147522027091,2015-07-01,-0.011946165734550995
0.9902491552191114,0.9938557046176659,0.9966275842657104,2015-07-02,-0.01337242418431411
0.9954920652977718,0.9972201420273125,0.9984181842433754,2015-07-03,-0.014668880801776942
0.9958803249115589,0.9974643946733095,0.9985529551480292,2015-07-04,-0.015869577242385448
0.9972638978893352,0.9983208309542104,0.9990296443286774,2015-07-05,-0.01710911758050055
0.9971493516368916,0.9982402008687463,0.9989798756439249,2015-07-06,-0.018605015736864704
0.997009242478149,0.9981837411907772,0.998940516789898,2015-07-07,-0.018436889599585615
0.9884851801301209,0.9926324141428766,0.9959057559782863,2015-07-08,-0.01944161633536281
0.9922322835221884,0.9951009799244994,0.9972646952341889,2015-07-09,-0.0208559935017
0.9934878886669719,0.9959069945960382,0.9976959086289124,2015-07-10,-0.022948657356271697
0.9949124910818065,0.9967995751106731,0.9981727483421188,2015-07-11,-0.02537554026222348
0.9961848712898755,0.9976176852658778,0.9986216362468021,2015-07-12,-0.02815032757843796
0.9995529048826437,0.9997250319177386,0.999831306462298,2015-07-13,-0.03118000204774913
0.9993628693671146,0.9996049350111502,0.9997613410752018,2015-07-14,-0.03269707320204733
0.9929098172862496,0.9955123475964973,0.9974498091219878,2015-07-15,-0.03698661542040388
0.9998746914208174,0.9999218780509268,0.9999511055469704,2015-07-17,-0.045377799043735
0.9982513621850185,0.9988904816476709,0.9993314703860499,2015-07-18,-0.048471313807399496
0.9933171813608261,0.995704706634128,0.9975082971539556,2015-07-19,-0.05591232766687071
0.9972356165188032,0.9982114277502978,0.998911339456831,2015-07-20,-0.06656462283794223
0.9907794049546385,0.9938881812059499,0.9964178090921991,2015-07-21,-0.077183976631993
0.9731048190615902,0.9811524429739893,0.9881943743500609,2015-07-22,-0.09562219493659277
0.9792606466313071,0.9855481624392806,0.9909062128146943,2015-07-23,-0.11147522724048248
0.9840850885264464,0.988960926564548,0.9928899207772486,2015-07-24,-0.13852649058622105
0.9837572962931325,0.9886706681267879,0.9927216621281769,2015-07-25,-0.144979563741746
0.9739246916346055,0.9809946707999919,0.9872404069290436,2015-07-26,-0.1796594827661844
0.9688694238344027,0.9765455952627866,0.9835501853849699,2015-07-27,-0.22566773782025928
0.9656465428150096,0.9739463581805197,0.9814159113062797,2015-07-28,-0.24645507426058944
0.9255252441865516,0.9387763322729923,0.9516198338491985,2015-07-29,-0.30474367025118576
0.8754243744071128,0.8948026842351106,0.9137744059145425,2015-07-30,-0.44004369708936397
0.8666336684011753,0.8863265120440268,0.9057095827106094,2015-07-31,-0.4488490671993363
0.8008032325446051,0.8252471790621081,0.8499869073193079,2015-08-01,-0.5701581587439054
0.999711671945773,0.9997907648900896,0.9998565470749595,2015-08-02,-0.1769714658090985
