c,p50,param
-0.0005392447133290257,0.14003108489839508,0.4187203009988319
0.009994588656090996,0.19570588976668404,0.29081103502565836
0.040283967166605275,0.2605444942116829,0.20722711000930139
0.04575938255709855,0.2898958051213865,0.19760623971319197
0.046890181770108806,0.3001015481689295,0.18890467732972824
0.0021784363155320043,0.1526279745972953,0.3781973536854757
0.01051703224685404,0.17768544089781496,0.33698003175227603
0.0395092034105953,0.2804007261874213,0.1940688281182377
-0.0017172342919774025,0.07962470826888542,0.5447367072307386
0.004044304639339652,0.10810209459115602,0.4898302950538565
0.028096692616087854,0.23460927773204934,0.23935444956659233
0.00040492838220081633,0.12134688475529687,0.46067354205553285
0.0011480042827041199,0.12319320274811137,0.43394658614498194
0.00925693896518831,0.17838924907442236,0.323716645489969
0.015682547855648845,0.20838830783643977,0.27678087568273857
0.00495245758877118,0.11406731429898652,0.4707128284150793
0.002657223477388207,0.14660150639492509,0.3950902390420148
0.009804546617633032,0.204316565340008,0.28321816328402516
0.015998947152751616,0.20935248330462747,0.27908614708606755
0.0028691176436827807,0.15060954329786833,0.4034588669527473
0.028256598342851887,0.23550410515930364,0.24075392812894347
0.030251287937876736,0.24419851225089895,0.223866243458313
-0.003936734166357098,0.08123773040469334,0.5432494806167513
0.019856868530284174,0.22044907928972166,0.26422140415768264
0.0021846184509895232,0.15246701606058313,0.3954928912122425
0.028467301366342124,0.24356123044661598,0.22887195609602237
0.002258950048010127,0.12754865588699063,0.45760793399858124
0.03807540066496604,0.27544054377201155,0.19769618660252328
0.042281914587644215,0.2848871999070962,0.19593325178343618
0.04104463324246925,0.26866429720736196,0.20461580125392914
0.04277923718547694,0.28871991463766067,0.19550096838483394
0.010737818907140755,0.1826067809539918,0.33591866517183927
0.001897519092934359,0.12459280006297747,0.4445755701230237
0.025676453485414374,0.2390371385285381,0.2282632344647765
0.007046716847287277,0.19749680224855168,0.29551770586023973
0.005666591645624426,0.19558931479529637,0.2950689280655566
0.009409981745159692,0.20495952518117702,0.28273495074780014
0.009099022135652331,0.19991166537123112,0.2858917052116034
0.0021448770055503565,0.15232896969558443,0.3834811858487308
0.0349440627882595,0.2573465200842864,0.2108254829884042
0.026128142086788233,0.24036972389201053,0.23252811084686334
0.027081277478460158,0.23613462693649223,0.24955709009906551
0.026837879790241374,0.23846686602424602,0.24822335090005435
0.012504083516373554,0.21165152003178797,0.2781982004169631
0.0014824009649958636,0.15594243878596478,0.38232346007335855
0.009175485012325926,0.18815770052302036,0.32179106090767196
0.027859357730926217,0.2478959497422879,0.23851186724456916
0.001874633884045122,0.16075752618976769,0.39063773322863016
0.002732963154589939,0.06992324325007701,0.6184680938107724
0.010615550310182274,0.21796255392022879,0.27704470493326755
0.008541400341199325,0.21394474802863103,0.28830144803691465
0.0058897591314525785,0.1919207851307183,0.3416794265563918
0.03004245359682806,0.2690731771238097,0.22557494513238352
0.03634576804276382,0.32629102460303094,0.1808482443430717
0.044737630017829495,0.3461605681823221,0.1741321317330948
0.034399269008681045,0.31374598457873665,0.21046856212067244
0.035995040165342426,0.31841799286847056,0.21103699791206457
0.045464405498636916,0.3925510065546373,0.15160856232771266
0.04550725827323741,0.43407808639444073,0.12315239179305443
0.04520416044937244,0.4556394236163801,0.11715882993397972
0.03758272337066369,0.4771966391786964,0.1286484229055375
0.016452932217865854,0.49484299277238225,0.14934803047252937
0.017498382700200897,0.5633846856039849,0.11234366032739859
0.016488007064757577,0.5847692923764838,0.10893277059766195
-0.0035218854953462564,0.4497354902834482,0.28073866433341205
0.017381839924341676,0.3227080383519167,0.23751188867249295
0.010027185689884319,0.2835294555371949,0.2655533359589085
0.03368891071697935,0.38297497203513015,0.1905228224508555
0.029638210594686184,0.37724309302032166,0.20951582205055436
0.022800394568621443,0.44240581923781935,0.1560254041890245
