qt=0.05,qt=0.5,qt=0.95,date,ps
8.183537981112644e-05,0.0001354488446155544,0.00022417743625310316,2015-05-30,-0.008788282936253607
0.00037992181284923705,0.0006545943443203464,0.0011643429299391208,2015-05-31,-0.011464124025177953
0.001191121502897842,0.0020067144754197007,0.0034606159405715345,2015-06-01,-0.013379528128079757
0.001856878839015479,0.0031035995750232004,0.005161139954947085,2015-06-02,-0.014992637484538775
0.0013303815971885664,0.0023461029832274496,0.00404975166548602,2015-06-03,-0.016451535140875183
9.8166416948716e-05,0.0001612799604076634,0.0002722965304542314,2015-06-04,-0.017725646455776442
2.725953194240217e-05,4.1919887230655755e-05,6.4022070551177e-05,2015-06-05,-0.018847429434630414
0.001389349181183108,0.0023569487590622724,0.0040025981197474745,2015-06-06,-0.019913220495044362
6.554846746173781e-06,9.435079451645597e-06,1.3063876501528506e-05,2015-06-08,-0.011621376363904576
0.0007961024368118597,0.0014460775660910417,0.0025360605312850894,2015-06-09,-0.011574821320613195
8.00194814238286e-05,0.00013147549326317015,0.00021694077026552234,2015-06-10,-0.011797215898074944
1.4614538938240404e-05,2.1907597137928364e-05,3.198118478836085e-05,2015-06-11,-0.012613270527398645
0.0001497516252456213,0.0002533893190597265,0.00044033094617683204,2015-06-12,-0.009571026548692229
0.0003085262481181292,0.0005457358146032005,0.0009871399614276904,2015-06-13,-0.010899746419266509
1.4784996853099262e-05,2.242853553316207e-05,3.311715259895871e-05,2015-06-14,-0.011958805410347393
7.223999122333182e-05,0.0001183359678387762,0.00020048083159262062,2015-06-15,-0.012986320322799911
0.0007143869786232626,0.0012397497867443342,0.002193000843032454,2015-06-16,-0.01432461342351427
0.00043590741234660795,0.0007727848433702886,0.0013936315817231872,2015-06-17,-0.01578381450367265
6.426442775523848e-05,0.00010329341257199685,0.00016884272302738988,2015-06-18,-0.01710911758050055
0.001255312653792609,0.0021459198664919178,0.0036597142541211335,2015-06-19,-0.018654127618590897
9.610048007112015e-05,0.0001572524290831248,0.00026413861701642534,2015-06-20,-0.020267851092368033
2.2242599128429934e-05,3.3758455592261695e-05,5.090487759780594e-05,2015-06-21,-0.02131353244367973
9.677692555849748e-05,0.00016018059189831026,0.00027586224156525373,2015-06-22,-0.022614791785018636
4.0009793682077453e-05,6.245184835365481e-05,9.786573400996534e-05,2015-06-23,-0.023642426936449065
0.0010533954931320059,0.0018482204875706282,0.003241385361357145,2015-06-24,-0.025115122344040255
3.2036862322694034e-05,4.930363593433961e-05,7.67021123233652e-05,2015-06-25,-0.02347544922614568
0.0012725224775327708,0.002252262801977751,0.0038906551523431522,2015-06-26,-0.020170014973366724
0.0017546647767102011,0.00309771822154225,0.0052203057995355,2015-06-27,-0.020455437067824177
0.0015373614698802969,0.0026965975325518904,0.0045756634249758754,2015-06-28,-0.02170594597926186
0.0017682333174874369,0.003156801698133483,0.005376556594933296,2015-06-29,-0.023676653759258273
6.183944502328214e-07,7.6287638283425e-07,9.278575204936608e-07,2015-06-30,-0.017673127011538885
2.784475071284091e-05,4.3170965968652955e-05,6.636868885641651e-05,2015-07-01,-0.011946165734550995
0.0010452288023253405,0.001853280859930511,0.003199126507791383,2015-07-02,-0.01337242418431411
