qt=0.05,qt=0.5,qt=0.95,date,ps
1.8576510803168473e-05,3.21691200797988e-05,5.273897341963115e-05,2015-05-30,-0.008788282936253607
6.451985534702205e-05,0.00012358703578995857,0.00021737712186913364,2015-05-31,-0.011464124025177953
0.00017208910407284355,0.0003432001536583627,0.0006142136385213601,2015-06-01,-0.013379528128079757
0.000255427132520746,0.000500158260407862,0.000891021285025368,2015-06-02,-0.014992637484538775
0.00014233686939454804,0.0002791479064659318,0.0004952233863269194,2015-06-03,-0.016451535140875183
1.902947084060443e-05,3.267196664253797e-05,5.318302188968896e-05,2015-06-04,-0.017725646455776442
7.550902256463273e-06,1.2005686800598766e-05,1.8504934562423446e-05,2015-06-05,-0.018847429434630414
0.0001947121696530479,0.0003823785942453661,0.0006828856788700965,2015-06-06,-0.019913220495044362
2.4935171888509395e-06,3.6931827854132756e-06,5.568058567325754e-06,2015-06-08,-0.011621376363904576
9.303607101590535e-05,0.00018232769211205298,0.00032697357840366127,2015-06-09,-0.011574821320613195
1.662190087892132e-05,2.8326048935922917e-05,4.61592237980803e-05,2015-06-10,-0.011797215898074944
4.670905551057094e-06,7.237238159937567e-06,1.092160254705736e-05,2015-06-11,-0.012613270527398645
2.5779766404180775e-05,4.609703942032791e-05,7.754456525701376e-05,2015-06-12,-0.009571026548692229
4.168472465463877e-05,7.79146182346191e-05,0.00013414716945027785,2015-06-13,-0.010899746419266509
4.384082683953054e-06,6.794206647544325e-06,1.0270114646444725e-05,2015-06-14,-0.011958805410347393
1.3936052867132775e-05,2.3356987058892e-05,3.7767053224521144e-05,2015-06-15,-0.012986320322799911
9.153430029020223e-05,0.00017815383237643553,0.00031935032022736636,2015-06-16,-0.01432461342351427
5.636161803859357e-05,0.00010632396453641816,0.0001861726151415891,2015-06-17,-0.01578381450367265
1.3966747831054265e-05,2.3260179736766887e-05,3.729165200637906e-05,2015-06-18,-0.01710911758050055
0.00016605396136122974,0.00032761662307726044,0.0005837772403561261,2015-06-19,-0.018654127618590897
1.9237098118537328e-05,3.2880391699757235e-05,5.339176990589081e-05,2015-06-20,-0.020267851092368033
6.348145376206516e-06,9.91583577642998e-06,1.5107380932923181e-05,2015-06-21,-0.02131353244367973
1.7369373570979495e-05,2.9475069255549807e-05,4.724170084738016e-05,2015-06-22,-0.022614791785018636
1.0530046563426858e-05,1.6944811574866812e-05,2.6530690197983868e-05,2015-06-23,-0.023642426936449065
0.00011270676606043931,0.00021750790556470593,0.00038315730041660784,2015-06-24,-0.025115122344040255
8.280233520853703e-06,1.316836377537236e-05,2.0248802630855527e-05,2015-06-25,-0.02347544922614568
0.00013527674317664464,0.0002632130243251641,0.00046658291399520526,2015-06-26,-0.020170014973366724
0.00019064340985359247,0.00037051694773516486,0.0006535501781720888,2015-06-27,-0.020455437067824177
0.00016733168979533397,0.00032545290584281157,0.0005763654199039004,2015-06-28,-0.02170594597926186
0.000175955586864684,0.00034142490489533824,0.000598645089296915,2015-06-29,-0.023676653759258273
3.8170220104591943e-07,5.062777692427318e-07,7.356743768192512e-07,2015-06-30,-0.017673127011538885
7.678359682817725e-06,1.2344171338066501e-05,1.924275310889973e-05,2015-07-01,-0.011946165734550995
0.00012604109226000627,0.0002491685501353987,0.0004437366943452226,2015-07-02,-0.01337242418431411
5.916262226174029e-05,0.00011214312561834706,0.00019658139430067326,2015-07-03,-0.014668880801776942
5.41350050185915e-05,0.00010209828283969837,0.0001785038413137545,2015-07-04,-0.015869577242385448
