Days,c,g1,kxmax,p50,L,ps
0,0.026876439294560055,0.3905713109939037,0.1682274456303197,0.985152076855696,0.1811760872275751,0.19035293795169114
1,0.03083025665590151,0.3598817840215239,0.2009318607079463,1.0655104388282808,0.1386554242686154,0.18638839835613422
2,0.02789070185124544,0.3684873427997308,0.18119812312605615,1.0180778167919056,0.17017410720590156,0.18405208067152473
3,0.03149000250581581,0.35455548143449994,0.20660430789838924,1.0759983136752602,0.13143976340689598,0.1863920994736508
4,0.028181262861542714,0.38226699004487064,0.1781737915081351,1.013353877233046,0.16738169884586798,0.18877498980636762
5,0.02597275171172503,0.40433227945105726,0.1590031330924536,0.9583910967476258,0.1901277230488271,0.19489101432400857
6,0.028006887552631424,0.38247323874449707,0.17712678164581094,1.0103402330600997,0.1692308345394955,0.18865369380362745
7,0.030937897123742973,0.3591853843081075,0.20179561181645111,1.0671953381499206,0.13749283543950663,0.18641840482731722
8,0.029620791160077344,0.3644907624582528,0.19237251746393136,1.0469334845903193,0.151556982922883,0.18547091124806933
9,0.022333031739096915,0.4353010490816267,0.13163732271733747,0.8595366532241379,0.22430962906570703,0.20942994601045817
10,0.028736737441811544,0.37641137358694804,0.18326138863786712,1.0261648329888344,0.16140469225889298,0.18762508057708785
11,0.03128893798594444,0.3620516444754071,0.20281226243710712,1.069675230762525,0.13414553620206987,0.18779529036433026
12,0.0320695046399453,0.3635334250434835,0.2067734255289105,1.07727878017076,0.12641426379978404,0.18966402566996088
13,0.03265891598961231,0.34870194122352277,0.21536331794516836,1.0901314967260745,0.11910556307823218,0.18763403510644974
14,0.031219907104548247,0.35139986854668026,0.20617723695408072,1.0747513943383324,0.1338749032325251,0.18507800329811172
15,0.03029991691630372,0.3575267901397653,0.1987071817861132,1.0602776576165782,0.14394508243458728,0.18479022082304725
16,0.011005162680681767,0.49795433159045105,0.0707119608851416,0.49383359199705107,0.33224444852203244,0.2750199131045779
17,0.021362303414043094,0.43798140364553767,0.12641310260045407,0.8359030450754132,0.23381452986614315,0.2118184347539039
18,0.02333224614639316,0.4218611362958603,0.14025142342312072,0.8919680195206348,0.21608587456589992,0.20241729586317334
19,0.028326032859581594,0.37158967196839804,0.18257103355643386,1.0229319289421837,0.16561661370952913,0.18561426579581802
