c_log10,g1_log10,kxmax_log10,p50
0.5499802551283111,0.6309810523855633,0.7329152727885901,0.9438816989839021
0.6146583130942639,0.6191330541332789,0.7446808350370571,0.9189862469208732
0.6480272308373449,0.6411497364620704,0.7427335104821252,0.9674517861766612
0.6441861545218879,0.665610416755705,0.708029156898451,0.8192576238413138
0.6393850120964792,0.6766372595635726,0.7827990772236202,0.9620431877944066
0.6463439511652143,0.7246032643069403,0.8436585367959868,0.956243774382992
0.5907620701084555,0.5714607643339817,0.7230475090748432,0.8871419401953863
0.6386258968178066,0.6196498064909873,0.7291964169028189,0.9016749003882581
0.5853371015833277,0.6616605474002382,0.7965659763382174,0.9318948400072643
0.594795004896794,0.6307600992092246,0.7497967704325398,0.9028351553890681
0.6450352565428528,0.6692728791555179,0.7939867953804645,0.9114932265283449
0.6633754242211252,0.5722046050154133,0.6715702189482757,0.864991230488837
0.6551235773287795,0.6168876402601875,0.7269927862988879,0.9069648228058622
0.5439929826365194,0.6521040624975862,0.767367115353029,0.9114853972844169
0.5452765728017192,0.5513738904381109,0.6671745748466377,0.8784924471534685
0.624725385985092,0.6086131328164153,0.7142195658415037,0.9278066380824113
0.6480816737452259,0.6929242235350618,0.7611198188236088,0.9334384908046068
0.5823515484665837,0.6782533077936393,0.7101100374260764,0.9555795794820618
0.6873769815956393,0.6742202860891968,0.7714501295992876,0.9926285139756924
0.667792756527991,0.7174569915053678,0.7840215157754875,0.9535647428765067
0.6177369275501906,0.6193566492388104,0.7850497232030071,0.8423644438373921
0.6645884251021856,0.6454970935629322,0.7549837488897442,0.9452329989477457
0.6177543312667911,0.6320340359581959,0.751809241105972,0.8797005543800032
0.6597283687584826,0.6549115094173283,0.7545674033126145,0.9967845874096297
0.625564645799714,0.6891673055595858,0.7607186393779648,0.9492960303283086
0.5872310154506631,0.6488375423994555,0.7175019798414571,0.8390574568271993
0.6408016941482474,0.6378614083460333,0.7578155867063858,0.9307433139958824
0.6284970576645047,0.6862669034584098,0.760661010663852,0.8684936058320645
0.6732512241316536,0.6151935315333394,0.6974235303327673,0.9616175819708801
0.6963345220224813,0.6576415549687686,0.6611631682899336,0.8997003822112533
0.6679315001333141,0.6159275597688182,0.6811462503496583,0.8777500409719451
0.6234980412478431,0.6540706566866442,0.7954840578049349,0.9269017169339028
0.5475128958056811,0.6092382999988962,0.6868615782161758,0.897248134717742
0.5930182050203253,0.5988118474205726,0.7614476395752885,0.8866229953035089
0.6266375289174185,0.646768657095573,0.6712699600492384,0.9392783965472922
0.6779622405520532,0.6896758563404926,0.7901972413558925,0.9244598100597623
0.6574080555876345,0.648182104342832,0.721378192107767,0.8462665805789237
0.6051892061077627,0.6451068936787816,0.7106055162048401,0.8617492507503403
0.5799046486243002,0.6527715713145144,0.706769245749365,0.892728956119755
0.6408891832310847,0.5810830888698497,0.6888061674800142,0.8918177184714053
0.6106446998949516,0.6517276831685157,0.7437863001450141,0.9705824762453061
0.6915263614386188,0.5863075480577625,0.7194367178631202,0.8682539904476697
0.7228429231534432,0.6459398881865974,0.7749711359315448,0.9093843831419139
0.6456253354658608,0.6439271817388413,0.7646723009213259,0.9487839114007487
0.674374585841757,0.6942972407585452,0.7232134408703125,0.9233944016917219
0.5873457250935771,0.6255591529106955,0.710578510408057,0.9649152611555728
0.6779791764961051,0.6705485712059771,0.7328179568621106,0.9399193908507314
0.6765164458470287,0.6375762392704447,0.8357275430510912,0.9810446778024772
0.5718439270978826,0.6142544272977889,0.7775833028422572,0.8627992868306726
0.6032396721014369,0.6250439927097898,0.6825509098747939,0.8621212523826118
0.702136360746829,0.7409348744614216,0.7500869418730808,0.93761717693231
0.6223751980127736,0.618654084246842,0.7773827011078626,0.9560714491232121
0.6779478370250961,0.6970724396038604,0.7394038156077635,0.9476768622923014
0.684694628446961,0.6843087387714576,0.8029968176785691,0.9716283796635965
0.7009068588150594,0.6856963743063136,0.7839391073775789,0.9889230292431602
0.6647085886519736,0.6940120493617289,0.753224591919353,0.9473626027557623
0.5799454048686966,0.6131907133134605,0.7441054492851651,0.8744355466446296
0.6645653872554113,0.6387618617485676,0.7803260163925252,0.9547795924755093
0.6455712212466689,0.6791611704635349,0.7409404551183365,0.9412683045991498
0.6364083058957679,0.6037517091256214,0.7948632354629458,0.8812492055871224
0.6328897567097197,0.6966015642275826,0.7231227612190979,0.9782698723658922
0.6723429632900525,0.6714000041460462,0.7236859716260537,0.8760571949041405
0.6534204810205098,0.656496148167626,0.8145052499628037,0.9520297557650218
0.6069498639128568,0.6532812002380397,0.7946191554288248,0.9154552581177023
0.6083630028706587,0.6640796543765355,0.7239804771541755,0.9309548239166282
0.6462403236378964,0.6699695833276499,0.7151601442072798,0.9609825650885334
0.6570590945624943,0.6531195771948745,0.7631836177873274,0.935689149489642
0.6140268653836664,0.6432831801384418,0.7345064679661366,0.9240291221163217
0.6530524924058081,0.6453432306627362,0.7322084371881346,0.9733118691093054
