b,c,g1,kxmax,p50
0.5324115127392789,0.5718769712137827,0.6726968531908877,0.7333524601965001,0.9064043738571056
0.5147423413235129,0.5726759416834114,0.645514345680064,0.7423510145266913,0.9009886884653396
0.508975173175355,0.5787196950776652,0.6728882162234406,0.7353117280129475,0.8888019829816198
0.49629034306993,0.5964011136627281,0.6581939512982912,0.7448227306080603,0.9057442542173272
0.5226449007327636,0.5488001449893974,0.6738017783208443,0.7082142251766985,0.8990114349380365
0.5313840795186956,0.6260301063906836,0.6838779368387456,0.7142632263443939,0.8867395531837516
0.532386544742929,0.592690046958585,0.6628120678300193,0.7364590586369698,0.9056837443915071
0.5058253854799369,0.5839231921546284,0.6631854903754214,0.7251199072756638,0.9124780597123135
0.5068144191841893,0.5890463825228142,0.6493237051246398,0.7191563452850207,0.8863892394022834
0.5441192225994496,0.6194218729612391,0.6590957787345308,0.7320221445888455,0.9179191120936706
0.501785519975207,0.5620424341588982,0.66719178451084,0.7129828618817748,0.8920046631661871
0.4877378774333019,0.5903445218602843,0.6605415560897827,0.6926157576183049,0.8717172843048022
0.5151929656686816,0.6031146934453786,0.6400424935733093,0.7297538058145411,0.9054067992453768
0.5182348958434884,0.6025382398704963,0.6369832524251775,0.7421490714927992,0.9201338298100525
0.49729602428654446,0.5540951223460506,0.6076473862322898,0.6956434414302376,0.909567406291866
0.5230693916302203,0.6003821368012077,0.651304426944444,0.7207013513528188,0.8920052472786923
0.5471160931783293,0.6027325967522645,0.6721763458221874,0.7390735495183614,0.9289865308435293
0.5097801610900644,0.5724995686636418,0.6664983663501391,0.7273348844047468,0.8909798576476712
0.5577396815937834,0.5797239971641348,0.6589456711300479,0.7684613407726161,0.8887477770016003
0.5145415626330937,0.606664784346025,0.6624684770499115,0.7123924751730316,0.8792292192225646
0.46826117086747265,0.5462535093118581,0.6000040768525703,0.6965304061760611,0.8521524370014041
0.5072627780662531,0.593043756599111,0.6826680452577216,0.737199625242047,0.9236488409539443
0.5178595241517844,0.5910483763947207,0.6262186479465892,0.7146950349615147,0.9255543487182201
0.5352725572391234,0.6061496549787093,0.6567940782081191,0.7257939972683822,0.923903058396085
0.5246454464836042,0.6133988002881471,0.6572501779262491,0.7037717676925609,0.9094390588015424
0.5240886284173526,0.5654150414927873,0.6697755543926049,0.7350716850992122,0.928392101154596
0.4991517108191595,0.5983192674031608,0.6377942649388799,0.6979518913807041,0.8767852220226117
0.48616695427659345,0.5677797708638893,0.6414042136407884,0.7160271607708332,0.8902663000805889
0.4881961737754105,0.5456921848781985,0.6383743583436368,0.7583840559734352,0.8969533744272815
0.4813490920187852,0.5535242348544448,0.6233168940774358,0.7290239428625672,0.8871583976959363
0.4824053684299514,0.5630122493906308,0.6134051307170445,0.7083898440500566,0.8936282634689179
0.5110929603501138,0.5891192379692822,0.6625067684573192,0.7318076343210882,0.9200805340865282
0.5311748852882213,0.6337699334363537,0.6758880538547063,0.7189001873107745,0.9209509534668825
0.48599587620771256,0.5469055735434619,0.6579355449935648,0.7147822532460071,0.8623194101455954
0.5199759525990683,0.581085803265742,0.6416042069786594,0.7314195573001377,0.8913006737258811
0.5105554392245326,0.5663111276726817,0.6014207996236673,0.7286624837607902,0.8893953437831846
