c,p50,param,ps
0.0012419802251247274,0.36380063519105965,0.13556969582357978,0.20564672180062407
0.004984847438845439,0.4011109834456229,0.09218593740412573,0.21875175948117612
0.0018415560607361382,0.4289451555690078,0.069852116371733,0.21850052130135056
0.0070799872807573196,0.44326702923937245,0.05828518906461185,0.21547142171871914
0.009625780131767415,0.4426269007937422,0.05871873810054531,0.21403390885327483
0.00039694756247007223,0.3735563313227866,0.1297235862169635,0.20995477410046082
0.00034969393914790093,0.38468408437857643,0.10834366693989407,0.2116924527219732
0.005346734577267781,0.4381596537279072,0.06359817584025589,0.21572654533526273
-0.0009986657192191772,0.3048506370753157,0.18565163145847285,0.183431050655748
0.001498489800626332,0.3322140457223885,0.1617475407565743,0.1977328383931488
0.0032069171198555527,0.41401384409910913,0.07902751733965309,0.2162944101809843
0.0027097674272247084,0.35313521509715184,0.149973120798632,0.20338704789513748
0.0024135584243096353,0.35794642652861414,0.1467546210205967,0.20792242210416584
0.002547437449338372,0.3898857253681937,0.10384776068536611,0.2113827411729988
0.004388166274704586,0.4066245846758338,0.08866376999501087,0.22222302244324932
-0.0003208634003127128,0.34391186826123105,0.1547648101753243,0.203631868019288
0.002655412237794691,0.3708704592235907,0.1327747276051524,0.207821891234778
0.004635874849742271,0.40250041531660674,0.09177647799962756,0.2199690700090522
0.004439207046893582,0.4055350615841084,0.08908816155961782,0.22137434386960073
0.0007007706651646154,0.3661657432373617,0.13322644865500655,0.2060519155511239
0.002929376203191097,0.41284660014463787,0.08029540765646245,0.21592130379242172
0.004324604957693344,0.41792481299005757,0.07884108144444182,0.217101505261474
-0.0007427386711428729,0.3053071142045666,0.18431363149801405,0.1833240427771509
0.004340832748392731,0.4082216287426254,0.08848617597936116,0.22366967032035626
0.0011443652075169585,0.3680102705766093,0.13293807721450865,0.20633192602507874
0.005089908601051623,0.4155878534089181,0.07928203543102015,0.21691054443603472
0.0006466062674503351,0.35153162927911225,0.1518911168729698,0.20294374623844644
0.001520456503788154,0.4320291247645291,0.06691465668216134,0.21928440802841756
0.005322449161631028,0.4376226998735901,0.06326961977523614,0.215753241168322
0.0018150846325451892,0.42637806387642635,0.0713753157669775,0.22030719415243302
0.005310838515460929,0.4377214560977452,0.0631949575319385,0.21613195605587676
-0.0005015207579195336,0.383985092907107,0.10916278607522324,0.21133408102636414
0.004224865135616679,0.35633378824250544,0.14997975340827016,0.20589018473907625
0.005108433212313075,0.41553829684012217,0.07931207601039718,0.21688108038053636
0.0040925668533606145,0.40052177770109293,0.093351645113761,0.2179084795253585
0.0034016192229802426,0.39889231204692654,0.09332907682194626,0.21686920320498035
0.005403542730792048,0.4020414985199299,0.09218604354641705,0.21952042369798264
0.004991738399479309,0.40079814768451216,0.09241736055999922,0.21808212019465703
0.0012408763475579515,0.37176271503858993,0.13070273877611094,0.208729628376448
0.0019701971819263745,0.4234340080997906,0.07190366980522878,0.21815334507488487
