Days,c,g1,kxmax,p50,L,ps
0,0.02650814168487633,0.2005312943448346,0.04354510867187055,0.38536235241517275,0.07595133977166145,0.26075732179903977
1,0.029355995471114588,0.19227577213025887,0.05669348040098886,0.3794907455336781,0.0616285554388326,0.2949625288321354
2,0.03251399338461816,0.18910378906766734,0.0682483273255808,0.36139275812689764,0.049690051094334206,0.3358417243951552
3,0.035199991151746005,0.1921437710541171,0.0748412046019908,0.3403903626284585,0.042383464666009195,0.368561069993955
4,0.03611873236450307,0.20295797311354302,0.07204457235040536,0.3262301335504187,0.04215900378744174,0.3692499443757761
5,0.02787519042056173,0.20628455000619883,0.04477694315027297,0.3706765461463396,0.07163302446995605,0.270898182129114
6,0.0242546281746414,0.20891577151670476,0.03293389982732027,0.38037057846343053,0.08954483724656365,0.2397628056198368
7,0.03357293241178416,0.19172016492120017,0.07010607754062834,0.3523011145485198,0.04702276653030618,0.3471219156511973
8,0.020587435538852446,0.21191723584836464,0.021831823733169414,0.3816554201720773,0.11317452018732108,0.21855689099927567
9,0.03392138509683726,0.20124694608957402,0.06617176278670278,0.34330009846044907,0.0481812118932581,0.342907883760357
10,0.02730768025670913,0.2053764912233535,0.04350868261893144,0.3745313579122917,0.07383991244036961,0.2659670997555548
11,0.022733054876033332,0.20991988118993846,0.028282986575068034,0.3821683053983852,0.09840229461688596,0.22966304218673297
12,0.02901632432785062,0.20379222078729542,0.049535365021576516,0.36835406483771116,0.06617392594216924,0.2836151841058087
13,0.031425712466951465,0.2046212231789595,0.056631057575894025,0.35485760730492627,0.057271137985183664,0.309598674695839
14,0.02359027359282089,0.2139879507893251,0.028938313964815637,0.37317272261842876,0.0948208199419858,0.23469274390334546
15,0.028092125098769894,0.21092230696848388,0.04317200899911083,0.36337199551155663,0.0720133079924101,0.2708225441672993
16,0.03247527735730563,0.19755594708148322,0.06360223476363543,0.3550991424437858,0.05190841612619338,0.32781587196407563
17,0.03201536099454744,0.2030890761340122,0.05927002483101808,0.35304154200179283,0.054826509948691544,0.3176961144535977
18,0.026831356278018043,0.2075688440477776,0.04100458874923614,0.3734065874022461,0.07661896092815121,0.2607309335267941
19,0.03369756856975863,0.19396133890615572,0.06929751832327913,0.3499313334042953,0.04717145330481143,0.34663970960459956
20,0.02755294560328003,0.20558762922566576,0.04414474399182685,0.37311449000045555,0.07282747850329871,0.2681666907071318
21,0.023869645051240798,0.21093344195563515,0.030980074606958174,0.37786563255427974,0.09225595376292797,0.23680326746755276
22,0.028646836963701808,0.21118147643423327,0.044726204852477046,0.3606931640266917,0.06972860935181924,0.2759804193464135
23,0.024807837896562053,0.20657721456640385,0.035571628378037096,0.3826794809743482,0.085950346332504,0.24433701825757673
24,0.03514425396508878,0.20467762553380642,0.06818949478509809,0.3322984965648061,0.045283724277402654,0.35554151039460846
25,0.02496328140016277,0.21084665059558422,0.03405056718506812,0.3750580973942565,0.0865592843933885,0.24455022408682814
26,0.03599555320261077,0.2039205695424112,0.07118170102029468,0.326523034550763,0.04270043077742326,0.36674981523686145
27,0.03750299167026579,0.2037928074880731,0.07580136545289105,0.31506874672042917,0.03866754465115509,0.3859337390018569
28,0.036568998581577764,0.2029765144735475,0.07340069851954112,0.32277417158977184,0.0409422216918896,0.3748849333576645
29,0.03838534255292519,0.2080298130620708,0.07633981801073594,0.30593086619737625,0.037272445958041155,0.3929135256611167
30,0.013980226827130382,0.21645491395518598,0.006140686229101777,0.3918784120698944,0.198054990894835,0.21906327660149053
31,0.0244130344867328,0.20773566559290513,0.03391464926381239,0.381921440330326,0.08833237504597385,0.24112538174165216
32,0.03418521175858612,0.19825890585402162,0.06854043155950845,0.3437863359157928,0.046691330525116016,0.3490325362994538
33,0.031959158604604666,0.20204298635747295,0.05963570291081165,0.35431306535836055,0.05475807309978944,0.3178382666737367
34,0.032973639496226045,0.2066234385756899,0.060457907502081666,0.3445369104136869,0.052465484268683076,0.3265067404414034
35,0.033341926757932766,0.21360952234733618,0.05811093768636352,0.33649762493223134,0.052894728331068695,0.3256224612268413
36,0.034156238466781445,0.2157968803582371,0.059575753846771204,0.3296445461325177,0.05075492756635034,0.3338523449718433
37,0.02925825009170046,0.19974706865520053,0.05238363132059984,0.3718482550114577,0.06408954673672389,0.2886803975018282
38,0.03521432926281811,0.1997872634452329,0.07090791495716427,0.3352879997124295,0.044015361935775404,0.3612055051164765
39,0.03415109812511996,0.20222053858853292,0.06638066174633261,0.34119054199565924,0.04769980088091876,0.34501279195302065
40,0.035644796270712854,0.20958226140563865,0.0672601238479769,0.3250328197831228,0.04488688539374569,0.35692913535052223
41,0.035818922457409114,0.2138791054056624,0.06566929281639743,0.3205416359889968,0.04528984872749954,0.35501229624001085
42,0.03376315061270775,0.21196671242418683,0.060237368091364485,0.335681816315554,0.05114420992600319,0.33200397857859176
43,0.024420783620263047,0.21307769777319246,0.031563517696734225,0.37274820761028116,0.09006774740795111,0.2402742232469702
44,0.025412691871214116,0.2112715587046871,0.03513295371193958,0.3728394238263368,0.08445735503363817,0.247850828681083
45,0.03176767599082761,0.19862894058759437,0.06082237526241495,0.35849573776587473,0.054554110562253164,0.31824591056472795
46,0.018588121782636455,0.21393489858790565,0.01641604690660658,0.3790068758682846,0.12957539530758008,0.211935672822839
47,0.030851860334592248,0.2170756073721326,0.04868809022216328,0.3444795192789712,0.0625410558791248,0.29524011790007987
48,0.03329508254825288,0.20691373349838937,0.061314753728812,0.3425016430090675,0.05148283218596977,0.33022039449471985
49,0.030851507769194358,0.21328739338175123,0.05050330701880029,0.34869269178496803,0.06157773267242175,0.29742437870481286
50,0.032512796261692255,0.20301907866792288,0.06086449607994526,0.35026249649162106,0.05312509331397071,0.3237570110279294
51,0.03641774957585591,0.2006550871457492,0.07412035103018123,0.32537987098614013,0.04087042823764628,0.3753532925547202
52,0.03745801912469315,0.21035452426828968,0.07241253621525612,0.3114984860925658,0.040066131746041476,0.37866366656893574
53,0.0365927592742819,0.2164512922719519,0.06679387285671608,0.3133921627854385,0.04361756477974913,0.36200090193605167
54,0.035081893752161676,0.21263958455149548,0.06400269731425715,0.3264708835683242,0.047198008027917605,0.3473473552931469
