qt=0.05,qt=0.5,qt=0.95,date,ps
0.9924549683577056,0.9950515555199806,0.9967027930436492,2015-05-30,-0.008788282936253607
0.9643246392887662,0.9762245089561619,0.9839994520336811,2015-05-31,-0.011464124025177953
0.9089211269528876,0.9316710914286958,0.950084857882973,2015-06-01,-0.013379528128079757
0.8688599240013503,0.8958626793283191,0.9186999215192695,2015-06-02,-0.014992637484538775
0.8887676278443891,0.9145076082645867,0.9357763060589501,2015-06-03,-0.016451535140875183
0.9902625148410524,0.9935619581627804,0.9957045990949324,2015-06-04,-0.017725646455776442
0.9977053736289337,0.9984194003483545,0.9989161990631191,2015-06-05,-0.018847429434630414
0.8940883757624906,0.9184938840838412,0.938593498966675,2015-06-06,-0.019913220495044362
0.9995428544750596,0.9996722729137035,0.9997670176010028,2015-06-08,-0.011621376363904576
0.9256168373064428,0.9460463304256714,0.9618646457901281,2015-06-09,-0.011574821320613195
0.9923642136828335,0.994968619430348,0.996659581466898,2015-06-10,-0.011797215898074944
0.998873070312885,0.9992136477129212,0.9994550181288072,2015-06-11,-0.012613270527398645
0.9848442715424871,0.9901742978154432,0.9935198853914973,2015-06-12,-0.009571026548692229
0.9673725068729931,0.9783388067536889,0.9856107802331835,2015-06-13,-0.010899746419266509
0.9988121584653462,0.999173217909507,0.9994274925361833,2015-06-14,-0.011958805410347393
0.9927633857827527,0.995222423627991,0.9968322692564293,2015-06-15,-0.012986320322799911
0.9357788184082355,0.95423035807165,0.968062037135698,2015-06-16,-0.01432461342351427
0.9553644898863975,0.969468154464425,0.979354196890195,2015-06-17,-0.01578381450367265
0.9939027114674501,0.9959388218133366,0.997273974526554,2015-06-18,-0.01710911758050055
0.900694591758681,0.9243797675111947,0.9437130028208572,2015-06-19,-0.018654127618590897
0.9904856366091691,0.9937181271489808,0.9958019407349973,2015-06-20,-0.020267851092368033
0.9981418757550695,0.9987119918806517,0.9991130650900895,2015-06-21,-0.02131353244367973
0.9897614353552303,0.9932158731119844,0.9955079916917933,2015-06-22,-0.022614791785018636
0.9964692307957718,0.9975803560093686,0.9983524984276121,2015-06-23,-0.023642426936449065
0.9056044535693974,0.9288827101864805,0.9478404072913786,2015-06-24,-0.025115122344040255
0.9971564128406837,0.9980457526829155,0.9986627445586601,2015-06-25,-0.02347544922614568
0.8913527442596534,0.9166777405932985,0.9376367871719226,2015-06-26,-0.020170014973366724
0.8620486148332049,0.8905665050872531,0.9146862536755278,2015-06-27,-0.020455437067824177
0.8759619667975548,0.9031384872101176,0.9256748539294599,2015-06-28,-0.02170594597926186
0.8577702815499596,0.8860328070056267,0.9113051777975205,2015-06-29,-0.023676653759258273
0.9999675502250986,0.9999754679193935,0.9999820385915894,2015-06-30,-0.017673127011538885
0.9976911469641392,0.9984182065724536,0.9989198997014928,2015-07-01,-0.011946165734550995
0.9104950794787948,0.9330839353198748,0.9512776768908905,2015-07-02,-0.01337242418431411
0.9542688001727888,0.9686463866305993,0.9787817746962696,2015-07-03,-0.014668880801776942
