b,c,g1,kxmax,p50
0.01777909642995641,0.04116339840461623,0.08633454460940487,0.12333961712836482,0.13654459626014173
0.04148053952654511,0.06853735310170289,0.10778489311522142,0.1547914980735798,0.18812011789598426
0.05536853762606991,0.07102155313986873,0.09681598473725832,0.12799210281850176,0.158801051073394
0.035785384981708565,0.06956239497702586,0.09067844868507945,0.12060562963240237,0.15060090611077798
0.024898155285657184,0.05962426296914336,0.07835883883474046,0.11210291802214706,0.138836654536427
0.011924927974821413,0.04496919226091774,0.056792265482642046,0.11048852571962517,0.12168309378328665
0.029078439448591713,0.05637239979457138,0.08104902493586177,0.13569120481884533,0.1440588403170548
0.03817791232478397,0.06686482496594516,0.10575606547308287,0.12963302657301176,0.16802769090546577
0.024210311965108106,0.045985667676027235,0.09926755053770261,0.13803363803222807,0.15810514892978725
0.04257059564039552,0.04421510736223659,0.07685735969390223,0.15636882003113342,0.17585287119941304
0.04103383253316111,0.0619878901047468,0.08360663416101716,0.12951335307307757,0.16316843806023731
0.03157089429618684,0.041487959356662156,0.10816706792378059,0.1310307170816412,0.15753467666770468
0.025713482785338117,0.055761365106055734,0.08572845350733235,0.12913339232760165,0.14387608933212237
0.039512582904178986,0.06837190441837827,0.08466493354963371,0.11722159410432811,0.15180781758049128
0.025746978816043153,0.06060265889208954,0.05403905749984294,0.10030314192559256,0.14975414726945993
0.019294261685522555,0.05010117274933411,0.09582606829758458,0.15622829324132037,0.1792063987131282
0.018909528652025772,0.0546733089080072,0.08221351410541052,0.11709921047578632,0.16470374617434125
0.0413555820817648,0.05567952751159012,0.07661588050889886,0.12555132670200086,0.15237426816125882
0.03713914358061287,0.0493345095465407,0.07367373739198696,0.1279183552480771,0.13684300435515584
0.022217021988485092,0.02095493942651755,0.05364454621491532,0.07768827820135168,0.09547388145452475
0.013031115923900561,0.06686262069536802,0.07723596454024761,0.11118778553047999,0.16000934049561505
0.022857764540312173,0.04423985185026336,0.07964234089158952,0.11170289312486327,0.14302062417385938
0.05215400514699126,0.03933138061529828,0.09303906138217474,0.1429284444596755,0.17365665375783854
0.06069061147753842,0.06605448158874788,0.09596115670910801,0.15235197041001747,0.1712058698903121
0.0023123208777101247,0.013608616015927248,0.06720013061231406,0.10569266969165274,0.12465218874378921
0.014111262634049828,0.0558612778190549,0.08359405318164918,0.11321229238648138,0.1543960968371805
0.026486329576557218,0.043415586791006,0.09923461212866003,0.13708236452395967,0.14889306393541815
0.054315771819158226,0.06033304645127289,0.09575998335791365,0.14073096333184296,0.16640024439790208
0.020132561084761122,0.061320746626211585,0.07705634021500354,0.1231612432197051,0.14264463512968353
0.019013126612153635,0.030250111652887157,0.06485617736989985,0.08960496500117228,0.11140052201891355
0.047094533968223495,0.05467491591021832,0.05789322319075133,0.08798479831520972,0.1252448495094974
0.046728440562147255,0.03971785427169402,0.07428950967531864,0.12828370936695802,0.15622288039810958
0.03073231340196874,0.04932325488856353,0.0927456843913532,0.13866358295040743,0.14714335568915
0.04617508596148107,0.07018052286890605,0.0933715047950442,0.13863245943036934,0.15296302637003567
0.04513781662247497,0.0683611745291099,0.09108239820013402,0.13790794595715009,0.15152527011433584
0.03744261208571133,0.07452487933028198,0.09786180674767095,0.11219071039649978,0.15455219272215737
0.014362699749724702,0.043548964242891015,0.05102412215356321,0.14164268820493392,0.15289646994202968
0.009734420782927005,0.03316875667329767,0.05176379154705084,0.08719839523591523,0.127160621769596
0.03381477369487836,0.05893415612200058,0.08790467949715974,0.11513933052347959,0.1573184512528716
0.02856796432391303,0.045570535648545255,0.06422379671821224,0.10788047944001178,0.14675822591326143
0.038879874336745814,0.02185115133629755,0.067757034908277,0.0989510710121331,0.11807180796924309
0.03171611042305707,0.03939605149051728,0.06617701117779703,0.11364346635889194,0.1211311230069883
0.02868035894439,0.022187537878215965,0.05831056887940083,0.10771883263877347,0.12480347582242496
0.0216222428364459,0.07004405155449525,0.08777982855763761,0.12884001825053704,0.15615386497578349
0.04162196772713349,0.03308683729649014,0.07575574625774646,0.13552697979176356,0.1277085411851436
0.02428216558532545,0.03631181355760566,0.07023058805380761,0.12870418780295845,0.1410993779896472
0.025831335021708004,0.058134027963756385,0.0895266502009149,0.1028090599735572,0.14345261786873037
0.03326796159619607,0.04612259291134609,0.08116826782995529,0.11256511155167863,0.1330417530883637
0.0340158714230318,0.060979005176949534,0.10167115618897452,0.15175714887147745,0.1746132863484783
0.030237345520050547,0.041061773190532974,0.0752065519229213,0.0996815302419395,0.14423436121059524
0.06141547855865709,0.067723778439924,0.11494120265505346,0.15222393020398095,0.1810899987256416
0.04344496611273283,0.04732005677005302,0.0903451208180981,0.1169047010701125,0.15460637990197307
0.040577424737426114,0.05103916206807633,0.09482160118422245,0.13311986883713445,0.14575096624023617
0.030739389329361398,0.03821517562547199,0.06744545291521781,0.0844768100094508,0.11341339052592726
0.0469818812072071,0.05106916065256726,0.06455040926620545,0.1061996758351605,0.11170452545357364
0.019367278345597306,0.06067630453629046,0.06931771489047059,0.10172176301940374,0.12839156420540343
0.05692006971806222,0.07942646536370288,0.06935073626807475,0.1141521456483259,0.15539839398909908
0.0058515548114731145,0.054478696084568304,0.07855374042008595,0.10598129545278027,0.13709977349428762
0.0502847829611824,0.05623265590646188,0.10216165218488406,0.13276857458590463,0.16493442097656758
0.01555753896769464,0.045459293509527925,0.06072082408843428,0.07166021253794175,0.105534076207239
0.00694769406224745,0.02926397001986534,0.03125888588385903,0.09051443692914639,0.1169539813145541
