,T,I,D,c,kxmax,L,p50,ps
0,5,50.0,0.0002,0.0020866443296684374,0.001100156018671903,0.9911664451589236,0.004240908445148271,0.0009391449727105144
1,5,50.0,0.003511111111111111,0.4970638459945423,0.5863832422335162,0.5605492434670815,0.6598218809258141,0.8923287185767077
2,5,50.0,0.006822222222222222,0.5179248810679076,0.6405741745974218,0.7413291732253972,0.8088798772210963,0.9945304827654337
3,5,50.0,0.010133333333333333,0.5280511302406611,0.5855443061106663,0.6707048507474407,0.7507384272275631,0.9149618397829102
4,5,50.0,0.013444444444444445,0.5248221280139207,0.5937429097832762,0.6854645416401218,0.777518137910245,0.9874583755533242
5,5,50.0,0.016755555555555555,0.5081163706566109,0.5825465651763004,0.6116528861808197,0.6986282383381044,0.8504611687439615
6,5,50.0,0.020066666666666663,0.4617365456308209,0.5616801242729955,0.6978036172745784,0.7021603849495948,0.9897964364242543
7,5,50.0,0.023377777777777775,0.5545983553609036,0.6666838974777508,0.7732432548498691,0.8357846233766346,1.0615871587188783
8,5,50.0,0.026688888888888887,0.5478919964250287,0.5830513686636352,0.7740631826883839,0.8110428514538276,0.9708846065427267
9,5,50.0,0.03,0.5314838217858465,0.5892263035513254,0.7357607303595153,0.8009424047797236,0.9420467630015378
10,5,100.0,0.0002,0.0020880356199230025,0.001102473976759839,0.9911599087977118,0.00424402023631153,0.0009397848273164958
11,5,100.0,0.003511111111111111,0.49707977101130635,0.5863823634604377,0.5605878283223187,0.659856086170888,0.8923511049441245
12,5,100.0,0.006822222222222222,0.5179323382617991,0.6405376761789767,0.7413311312166682,0.8089151892584553,0.9945611455442214
13,5,100.0,0.010133333333333333,0.5280564014515392,0.5855185136492115,0.67073879707884,0.7507660695886617,0.9149765762479941
14,5,100.0,0.013444444444444445,0.5236682876042706,0.5634251815814281,0.6686854154371915,0.7597788409321276,0.9715396777891795
15,5,100.0,0.016755555555555555,0.5101917222522262,0.5406094258914901,0.6687493958622087,0.707264520448624,0.9098191498331942
16,5,100.0,0.020066666666666663,0.46172143044609265,0.5616729437265946,0.6978158895880952,0.7021873542746739,0.9897973327374228
17,5,100.0,0.023377777777777775,0.5545932528920863,0.6666626556808629,0.7732462335667127,0.8357797333338336,1.0615760497952333
18,5,100.0,0.026688888888888887,0.49944325213301366,0.5397574706817118,0.6291267222066973,0.7260196323693349,0.9491555717268331
19,5,100.0,0.03,0.5031388454414929,0.5737545143084792,0.670103218379606,0.7566819910254509,0.982102768911711
20,5,150.0,0.0002,0.0020881116315410605,0.001102612438993647,0.9911595359761324,0.004244192298167488,0.0009398200899256018
21,5,150.0,0.003511111111111111,0.4970807871990258,0.5863823556627418,0.5605901607766172,0.6598581494201436,0.8923524676951008
22,5,150.0,0.006822222222222222,0.517932869641868,0.6405355214965167,0.7413312368517587,0.8089172822500696,0.9945629447092219
23,5,150.0,0.010133333333333333,0.5280567649157308,0.5855169731633524,0.6707408764617816,0.7507676945241243,0.9149774598309898
24,5,150.0,0.013444444444444445,0.5236679440010145,0.5634239670701643,0.6686848174996414,0.759779334828872,0.9715395211220453
25,5,150.0,0.016755555555555555,0.5101918620351706,0.5406078492663037,0.6687494651561703,0.707265127004757,0.9098191483815476
26,5,150.0,0.020066666666666663,0.46172056378965404,0.5616725684577126,0.6978166578177726,0.7021890344467404,0.9897974336137763
27,5,150.0,0.023377777777777775,0.5488075262455243,0.6470459027337374,0.7851258854924167,0.8549281696297085,0.9860560714711252
28,5,150.0,0.026688888888888887,0.4994436860590316,0.5397574302539433,0.6291274265919405,0.7260202093088011,0.9491559236531828
29,5,150.0,0.03,0.5028977168757711,0.5642101535591064,0.6435431158831124,0.8108450857011256,0.9632889286299199
30,5,200.0,0.0002,0.0020881372859327197,0.0011026594982912106,0.9911594097110145,0.0042442504272652915,0.0009398319997468175
31,5,200.0,0.003511111111111111,0.49708113425799444,0.586382354159905,0.5605909542554318,0.6598588511704876,0.8923529314914448
32,5,200.0,0.006822222222222222,0.5179330525342712,0.6405347897237216,0.7413312726160493,0.8089179932790704,0.994563555272945
33,5,200.0,0.010133333333333333,0.5280568895215939,0.5855164493003051,0.6707415846070712,0.7507682461973675,0.9149777603746536
34,5,200.0,0.013444444444444445,0.5236678293433705,0.563423554896361,0.6686846153315332,0.7597795028422782,0.9715394700788992
35,5,200.0,0.016755555555555555,0.5101919121310104,0.5406073129235957,0.6687494916479272,0.7072653340202677,0.9098191493929125
36,5,200.0,0.020066666666666663,0.46172026861290966,0.5616724412602339,0.6978169193365398,0.7021896073124002,0.9897974678015165
37,5,200.0,0.023377777777777775,0.5488074381999212,0.6470456440517844,0.7851259646788838,0.854928030422014,0.9860561542252626
38,5,200.0,0.026688888888888887,0.4994438332350107,0.5397574157069917,0.629127666250448,0.7260204059811468,0.9491560419140528
39,5,200.0,0.03,0.5028975409195637,0.5642099275960275,0.6435428682927146,0.8108447902670589,0.9632884863774628
40,5,250.0,0.0002,0.0020881490336464806,0.0011026810940264564,0.9911593518303905,0.004244277053714155,0.0009398374547742077
41,5,250.0,0.003511111111111111,0.4970812938031959,0.5863823536474554,0.5605913185767759,0.659859173325193,0.8923531444101342
42,5,250.0,0.006822222222222222,0.517933136796009,0.6405344538102113,0.7413312891397524,0.8089183197117709,0.9945638353437714
43,5,250.0,0.010133333333333333,0.5280569467293189,0.5855162085270386,0.6707419098041149,0.7507684993699272,0.9149778983989876
44,5,250.0,0.013444444444444445,0.5236677764351165,0.5634233651272488,0.6686845227905281,0.7597795802079892,0.9715394467630344
45,5,250.0,0.016755555555555555,0.5101919349317106,0.5406070657654048,0.6687495044712641,0.7072654295701077,0.909819150314704
46,5,250.0,0.020066666666666663,0.4617201320700195,0.5616723820463677,0.6978170394009219,0.702189870284383,0.9897974828249275
47,5,250.0,0.023377777777777775,0.5488073962024523,0.6470455250172052,0.7851260010118712,0.8549279671461107,0.9860561926873562
48,5,250.0,0.026688888888888887,0.49944389954797497,0.5397574081833094,0.6291277764460114,0.72602049584659,0.9491560954079357
49,5,250.0,0.03,0.5028974586207592,0.5642098230187217,0.6435427546560823,0.810844654038229,0.9632882823530564
50,5,300.0,0.0002,0.0020881550960796143,0.0011026922466261262,0.9911593219505144,0.0042442907956252,0.0009398402700985793
51,5,300.0,0.003511111111111111,0.49708137626430643,0.5863823534212387,0.5605915067938091,0.6598593397355894,0.8923532543767537
52,5,300.0,0.006822222222222222,0.5179331803686644,0.64053428023877,0.7413312977496208,0.8089184884014713,0.9945639799629625
53,5,300.0,0.010133333333333333,0.5280569762233577,0.5855160839655087,0.6707420777770737,0.7507686301461315,0.9149779697175421
54,5,300.0,0.013444444444444445,0.5236677487972365,0.5634232667027146,0.6686844750743596,0.7597796203198877,0.9715394346285833
55,5,300.0,0.016755555555555555,0.5101919464083976,0.5406069375745632,0.6687495113251316,0.7072654791703199,0.909819150975029
56,5,300.0,0.020066666666666663,0.4617200609634324,0.5616723509347725,0.6978171014262221,0.7021900060026902,0.9897974902730582
57,5,300.0,0.023377777777777775,0.548807373596917,0.6470454632326748,0.7851260194677131,0.8549279345841545,0.9860562124998002
58,5,300.0,0.026688888888888887,0.49944393314711194,0.5397574038933455,0.6291278334863547,0.7260205419316401,0.9491561226900143
59,5,300.0,0.03,0.502897415327367,0.5642097684646766,0.6435426960516388,0.8108445834092286,0.9632881766432109
60,5,350.0,0.0002,0.0020881584912683378,0.0011026984938910017,0.9911593052149532,0.004244298491785181,0.0009398418468388175
61,5,350.0,0.003511111111111111,0.4970814224764066,0.586382353304599,0.5605916122557026,0.6598594329687649,0.8923533159757508
62,5,350.0,0.006822222222222222,0.5179332047844117,0.6405341829581309,0.7413313026103843,0.8089185829547527,0.9945640609729213
63,5,350.0,0.010133333333333333,0.5280569927113886,0.5855160140841943,0.6707421718712352,0.7507687034184773,0.9149780096805421
64,5,350.0,0.013444444444444445,0.523667733142165,0.5634232113596119,0.6686844483697413,0.7597796428646238,0.971539427757648
65,5,350.0,0.016755555555555555,0.510191952667441,0.5406068655165401,0.6687495152480185,0.7072655070619382,0.9098191514169357
66,5,350.0,0.020066666666666663,0.4617200208649683,0.561672333260098,0.6978171361785448,0.7021900819722072,0.9897974943258949
67,5,350.0,0.023377777777777775,0.5488073605174328,0.647045428451151,0.7851260296088176,0.8549279163542645,0.9860562235249858
68,5,350.0,0.026688888888888887,0.49944395168159805,0.5397574013166232,0.6291278654989834,0.726020567573354,0.9491561378220256
69,5,350.0,0.03,0.5028973907242866,0.5642097376420436,0.6435426632635023,0.8108445437316681,0.9632881173085492
70,5,400.0,0.0002,0.0020881605461981396,0.0011027022752202798,0.9911592950856132,0.004244303149869357,0.0009398428011700296
71,5,400.0,0.003511111111111111,0.4970814504549107,0.5863823532371693,0.5605916761024627,0.6598594894077028,0.892353353259273
72,5,400.0,0.006822222222222222,0.5179332195622663,0.6405341240506949,0.7413313055701167,0.8089186402150985,0.9945641100080853
73,5,400.0,0.010133333333333333,0.5280570026735312,0.5855159717371088,0.6707422288232238,0.7507687477761872,0.9149780338735423
74,5,400.0,0.013444444444444445,0.5236677235812878,0.5634231777643299,0.6686844322144331,0.7597796565450614,0.9715394235578609
75,5,400.0,0.016755555555555555,0.5101919563721466,0.5406068217890458,0.6687495176536272,0.70726552398967,0.909819151712882
76,5,400.0,0.020066666666666663,0.46171999647611967,0.5616723224526894,0.6978171572166215,0.7021901279287445,0.9897974967321477
77,5,400.0,0.023377777777777775,0.5488073524161634,0.6470454073146593,0.7851260356465247,0.8549279053153236,0.9860562301557914
78,5,400.0,0.026688888888888887,0.4994439627739918,0.5397573996818579,0.6291278849017323,0.7260205830108407,0.9491561469144478
79,5,400.0,0.03,0.5028973756770061,0.5642097188652729,0.6435426434333453,0.8108445196680728,0.9632880813473738
80,5,450.0,0.0002,0.0020881618815227704,0.0011027047323675626,0.9911592885034671,0.004244306176745579,0.0009398434213124321
81,5,450.0,0.003511111111111111,0.4970814686387055,0.5863823531945386,0.5605917175968897,0.6598595260855626,0.892353377485811
82,5,450.0,0.006822222222222222,0.5179332291637507,0.6405340857592808,0.7413313075018813,0.8089186774381723,0.9945641418729659
83,5,450.0,0.010133333333333333,0.5280570091378756,0.5855159441956864,0.6707422658303842,0.7507687766039277,0.9149780495959072
84,5,450.0,0.013444444444444445,0.5236677173261454,0.5634231558869829,0.6686844217198183,0.759779665451311,0.971539420807209
85,5,450.0,0.016755555555555555,0.5101919587378498,0.5406067933211999,0.6687495192294315,0.7072655350101774,0.9098191519173155
86,5,450.0,0.020066666666666663,0.4617199805728224,0.5616723153791852,0.6978171708888538,0.7021901577793707,0.9897974982756503
87,5,450.0,0.023377777777777775,0.548807347065689,0.6470453935385162,0.785126039519468,0.854927898137501,0.9860562344421927
88,5,450.0,0.026688888888888887,0.49944396992307555,0.5397573985849123,0.6291278975217008,0.7260205930020954,0.9491561527916116
89,5,450.0,0.03,0.5028973658262358,0.5642097066065785,0.643542630553843,0.8108445040098288,0.9632880579583123
90,5,500.0,0.0002,0.002088162802919676,0.0011027064278001444,0.9911592839617422,0.004244308265326861,0.0009398438492222829
91,5,500.0,0.003511111111111111,0.49708148118696854,0.5863823531656371,0.5605917462311863,0.6598595513949442,0.892353394201723
92,5,500.0,0.006822222222222222,0.5179332357877475,0.6405340593314872,0.741331308839181,0.8089187031298826,0.9945641638606009
