Days,alpha,c,g1,kxmax,p50,L,ps
0,0.48527703974733655,0.5438302407188714,0.5711969444995459,0.7243527085255489,0.7452316797612186,0.740729911488562,0.8183075972907634
1,0.42625059150833866,0.5528466869426367,0.6387321274841825,0.6887432990381589,0.742261353905808,0.8270201397589072,0.9025638424559351
2,0.4092029516532965,0.421030402853692,0.5108887721680647,0.5458921597519794,0.6708264137084842,0.7082981836457055,0.8750563064221912
3,0.3589298907777258,0.48181731879748385,0.5728223316671591,0.6242595324884629,0.6941016241762713,0.755610569950062,0.888773828753645
4,0.41809467267241013,0.5082715649732874,0.6396994998227715,0.6259469455760361,0.7334770774126755,0.7643822141793462,0.9263795287016956
5,0.45525193333545405,0.5431496724086465,0.609282270329552,0.657065340025878,0.8129550090094867,0.8529858345543228,0.9967766815040453
6,0.36245518912486013,0.526005400485425,0.5627958479300103,0.6525499973303691,0.6997379163251568,0.9692371233680226,0.9951180734081089
7,0.5056180697900705,0.5771432145383253,0.6657085901753089,0.8039479082738538,0.8868831881725839,0.8825835387918316,1.0470079710480942
8,0.45465928803195993,0.5768075530674185,0.6300680676165561,0.7119666513295058,0.7943016823381565,0.9043766802489788,1.0522255945822034
9,0.4154076295150182,0.549572756826894,0.6444949314241322,0.7764113467774195,0.7834498721669277,0.8956720098087164,1.0905048918160802
10,0.4193251412844602,0.48603308942779805,0.5426254488648604,0.6748847222342109,0.7484880781783151,0.7736181122012498,0.8596954704568112
11,0.365825575219821,0.44764064260687975,0.5612729156768312,0.6310545795420124,0.7887681200113169,0.8183677144639386,0.9268246348262026
12,0.45970545934522494,0.4961947643628629,0.5513204921757432,0.5833003600576068,0.7394701079346648,0.872415754498273,0.8485898030088475
13,0.3491709348966268,0.5060741008970177,0.5600534593211911,0.6774607123481788,0.7802418267178168,0.8511655923657199,0.9594573334928239
14,0.4479742653423767,0.5555556144546949,0.6113153650921272,0.7098076218322087,0.8621536173319516,0.9281624150435568,1.0218389625440507
15,0.42947036000811406,0.5569651311653083,0.6206385176549832,0.7079488888297187,0.7543170528918761,0.9461414860330478,0.9683226240497127
16,0.3799797129082053,0.46292395335807424,0.5654228529568062,0.5984634225938681,0.665789152295737,0.7460352389587475,0.9538801816069681
17,0.38914554217835734,0.4626854596685337,0.5716603753959354,0.6780353720807126,0.7710127526215207,0.8688711991921052,0.9514471182352827
18,0.4611884279443881,0.6634406102207945,0.7225447302016307,0.7969725753811069,0.8426291183449981,0.8845321696539997,1.08378704647756
